# List of animal species latin names, obtained from the Open Tree of Life project (OTL tip names, version 13.4, accessed October 27, 2021)
Pelmatosphaera polycirri
Stoecharthrum monnati
Stoecharthrum burresoni
Stoecharthrum fosterae
Stoecharthrum giardi
Ciliocincta julini
Ciliocincta sabellariae
Ciliocincta akkeshiensis
Intoshia metchnikovi
Intoshia leptoplanae
Intoshia major
Intoshia paraphanostomae
Intoshia linei
Intoshia variabili
Rhopalura ophiocomae
Rhopalura sanguinea
Rhopalura vermiculicola
Rhopalura litoralis
Rhopalura granosa
Rhopalura philinae
Rhopalura gigas
Rhopalura intoshi
Rhopalura murmanica
Rhopalura elongata
Rhopalura pterocirri
Rhopalura major
Kantharella antarctica
Microcyema vespa
Conocyema polymorpha
Dodecadicyema loligoi
Pleodicyema delamarei
Pleodicyema delamarie
Dicyemennea abbreviata
Dicyemennea abelis
Dicyemennea brevicephaloides
Dicyemennea ophioides
Dicyemennea trochocephalum
Dicyemennea eledones
Dicyemennea californica
Dicyemennea nouveli
Dicyemennea rossiae
Dicyemennea abasi
Dicyemennea granularis
Dicyemennea lameerei
Dicyemennea rostrata
Dicyemennea discocephalum
Dicyemennea pileum
Dicyemennea coromadelensis
Dicyemennea umbraculum
Dicyemennea bathybenthum
Dicyemennea canadensis
Dicyemennea gracile
Dicyemennea ryukyuense
Dicyemennea gyrinodes
Dicyemennea adscita
Dicyemennea curta
Dicyemennea dogieli
Dicyemennea minabense
Dicyemennea dorycephalum
Dicyemennea brevicephala
Dicyemennea abreida
Dicyemennea parva
Dicyemennea eltanini
Dicyemennea filiformis
Dicyemennea mastigoides
Dicyemennea marplatensis
Dicyemennea adminicula
Dicyemennea longinucleata
Dicyemennea coromandelensis
Dicyemennea littlei
Dicyemennea antarcticensis
Dicyemennea kaikouriensis
Dicyemennea floscephalum
Dicyemennea chukchiense
Dicyemennea spencerense
Dicyemennea antarticensis
Dicyemennea ferans
Pseudicyema truncatum
Pseudicyema cappacephalum
Pseudicyema nakaoi
Dicyemodeca anthinocephalum
Dicyemodeca dogieli
Dicyemodeca deca
Dicyema misakiense
Dicyema japonicum
Dicyema koshidai
Dicyema orientale
Dicyema acuticephalum
Dicyema knoxi
Dicyema macrocephalum
Dicyema whitmani
Dicyema platycephalum
Dicyema bilobum
Dicyema acciaccatum
Dicyema ganapatii
Dicyema robsonellae
Dicyema madrasensis
Dicyema sphaerocephalum
Dicyema banyulensis
Dicyema schulzianum
Dicyema helocephalum
Dicyema apollyoni
